time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,15,4,99,3
2024-04-18 00:00:00+00:00,6,3,8,4
2024-04-19 00:00:00+00:00,47,12,127,2
2024-04-20 00:00:00+00:00,1,1,0,0
2024-04-23 00:00:00+00:00,0,0,2,2
2024-04-24 00:00:00+00:00,4,2,13,2
2024-04-25 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,0,0,2,1
2024-04-27 00:00:00+00:00,2,2,5,3
2024-04-29 00:00:00+00:00,5,3,14,3
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,1,1,60,2
2024-05-03 00:00:00+00:00,0,0,34,3
2024-05-04 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,6,4,9,3
2024-05-07 00:00:00+00:00,1,1,35,3
2024-05-09 00:00:00+00:00,0,0,1,1
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,17,2
2024-05-14 00:00:00+00:00,0,0,24,4
2024-05-15 00:00:00+00:00,0,0,51,2
2024-05-16 00:00:00+00:00,0,0,2,1
2024-05-17 00:00:00+00:00,0,0,6,3
2024-05-18 00:00:00+00:00,0,0,5,2
2024-05-20 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,1,1,9,3
2024-05-22 00:00:00+00:00,10,3,94,4
2024-05-23 00:00:00+00:00,40,8,204,5
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-25 00:00:00+00:00,1,1,4,2
2024-05-26 00:00:00+00:00,1,1,0,0
2024-05-27 00:00:00+00:00,0,0,3,2
2024-05-28 00:00:00+00:00,0,0,2,1
2024-05-29 00:00:00+00:00,0,0,1,1
2024-05-30 00:00:00+00:00,0,0,9,1
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,4,3
2024-06-04 00:00:00+00:00,0,0,1,1
2024-06-05 00:00:00+00:00,0,0,2,2
2024-06-06 00:00:00+00:00,0,0,3,2
2024-06-10 00:00:00+00:00,1,1,1,1
2024-06-11 00:00:00+00:00,1,1,4,1
2024-06-12 00:00:00+00:00,1,1,4,3
2024-06-13 00:00:00+00:00,0,0,9,3
2024-06-14 00:00:00+00:00,1,1,17,2
2024-06-16 00:00:00+00:00,3,1,1,1
2024-06-17 00:00:00+00:00,0,0,1,1
2024-06-20 00:00:00+00:00,0,0,10,5
2024-06-21 00:00:00+00:00,1,1,1,1
2024-06-22 00:00:00+00:00,1,1,0,0
2024-06-24 00:00:00+00:00,0,0,2,2
2024-06-25 00:00:00+00:00,0,0,1,1
2024-06-26 00:00:00+00:00,5,3,0,0
2024-06-27 00:00:00+00:00,0,0,2,2
2024-06-28 00:00:00+00:00,0,0,1,1
2024-07-01 00:00:00+00:00,9,4,14,3
2024-07-02 00:00:00+00:00,0,0,2,1
2024-07-03 00:00:00+00:00,20,6,1,1
2024-07-05 00:00:00+00:00,0,0,1,1
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-09 00:00:00+00:00,0,0,5,1
2024-07-11 00:00:00+00:00,0,0,2,1
2024-07-16 00:00:00+00:00,3,1,29,2
2024-07-17 00:00:00+00:00,1,1,1,1
