time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,15,4,99,3
2024-04-18 00:00:00+00:00,6,3,8,4
2024-04-19 00:00:00+00:00,47,12,127,2
2024-04-20 00:00:00+00:00,1,1,0,0
2024-04-23 00:00:00+00:00,0,0,2,2
2024-04-24 00:00:00+00:00,4,2,13,2
2024-04-25 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,0,0,2,1
2024-04-27 00:00:00+00:00,2,2,5,3
2024-04-29 00:00:00+00:00,5,3,14,3
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,1,1,60,2
2024-05-03 00:00:00+00:00,0,0,34,3
2024-05-04 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,6,4,9,3
2024-05-07 00:00:00+00:00,1,1,35,3
2024-05-09 00:00:00+00:00,0,0,1,1
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,17,2
2024-05-14 00:00:00+00:00,0,0,24,4
